Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets
4 Bedrooms Terrace And 5 Bedrooms Terrace + 1 Room Bq,Adebola Solanke Allen Avenue Ikeja Lagos,₦,"120,000,000",0,0,0,4 beds,4 baths,5 Toilets
Newly Built 3 Bedroom Flat + Bq,"In A Serene Environment Of Ikeja Gra, Lagos Ikeja Gra Ikeja Lagos",₦,"85,000,000",1,1,0,3 beds,4 baths,4 Toilets
4 Bedroom Detached Duplex,Ikeja Gra Ikeja Lagos,₦,"270,000,000",0,0,0,4 beds,4 baths,5 Toilets
2 Bedrooms Flat,Agidingbi Ikeja Lagos,₦,"45,000,000",0,0,0,2 beds,2 baths,2 Toilets
Metro Hotel,"Airport Road, Ikeja Airport Road(ikeja) Ikeja Lagos",₦,"400,000,000",0,0,0,10 beds,10 baths,0 Toilets
A 10 Bedroom Detached Duplex,Adeniyi Jones Adeniyi Jones Ikeja Lagos,₦,"400,000,000",0,0,0,10 beds,10 baths,10 Toilets
9 Floors Commercial Building,Allen Axis Allen Avenue Ikeja Lagos,₦,"2,000,000,000/year",0,0,1,9 beds,9 baths,9 Toilets
Executive 5bedroom Detached Duplex,Adeniyi Jones Ikeja Lagos,₦,"140,000,000",0,1,0,5 beds,5 baths,6 Toilets
4 Bedroom Wing Of Duplex,Adeniyi Jones Ikeja Lagos,₦,"200,000,000",0,0,0,0 beds,0 baths,0 Toilets
5 Bedroom Semi Detached Duplex,Alausa Ikeja Lagos,₦,"100,000,000/sqm",0,0,0,5 beds,5 baths,7 Toilets
4 Acres Of Land,Ikeja Lagos,₦,"150,000/sqm",0,0,0,0 beds,0 baths,0 Toilets
Relatively New Five Bedroom Fully Detached Duplex With Bq,Off Adeniyi Jones Ikeja Lagos,₦,"180,000,000",0,0,0,5 beds,6 baths,6 Toilets
5 Bedroom Duplex,Off Toyin Toyin Street Ikeja Lagos,₦,"100,000,000",0,0,0,5 beds,6 baths,6 Toilets
2arces And 2plots At Kudirat Abiola Way Oregun Ikeja Lagos Suitable For Any Kind Of Purpose,Kudirat Abiola Way Oregun Ikeja Lagos Oregun Ikeja Lagos,₦,"2,400,000,000",0,0,0, beds, baths, Toilets
A Well Furnished Spacious 3 Bedrooms Ensuite Bathroom Flat Upstairs With Bq,Adeniyi Jones Ikeja Lagos,₦,"65,000,000",0,0,0,3 beds,4 baths,4 Toilets
Land,Opic Estate Via Ikeja Ikeja Lagos,₦,"14,000,000",0,0,0,0 beds,0 baths,0 Toilets
4 Bedroom Terrace Duplex,Awuse Estate Opebi Ikeja Lagos,₦,"120,000,000",0,0,0,4 beds,4 baths,5 Toilets
Prime Fenced 3120sqm Land,Ikeja Gra Ikeja Lagos,₦,"1,300,000,000",0,0,0, beds, baths, Toilets
8 Units Of Three Bedroom Flat With A Room Bq,Opebi Ikeja Lagos,₦,"60,000,000",0,0,0, beds, baths, Toilets
A Full Functional Hotel Sitting,Ikeja Lagos,₦,"1,200,000,000",0,0,0,10 beds,0 baths,0 Toilets
Commercial Land/plot,Z Oregun Ikeja Lagos,₦,"150,000,000",0,0,0,0 beds,0 baths,0 Toilets
2 Bedroom Apartment,Maryland Ikeja Lagos,₦,"45,000,000",0,0,0,2 beds,0 baths,0 Toilets
A Cable Producing Factory,Ikeja Industrial Area Ikeja Lagos,₦,"3,500,000,000",0,0,0,0 beds,0 baths,0 Toilets
A Newly Built 4 Bedrooms Massionate,Adeniyi Jones Adeniyi Jones Ikeja Lagos,₦,"120,000,000",0,1,0,4 beds,4 baths,5 Toilets
