Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets
4 Bedroom Detached Duplex,Parkview Estate Ikoyi Lagos,₦,"320,000,000",0,1,0,4 beds,4 baths,5 Toilets
5 Bedroom Penthouse Apartment On Multiple Floors + Elevator,Off Onikoyi Road Ikoyi Mojisola Onikoyi Estate Ikoyi Lagos,$,"2,000,000",1,0,0,5 beds,5 baths,6 Toilets
Ecquisitely Finished & Brand New 5 Bedroom Detached Duplex On 4 Floors With Elevator & Cinema (video Available On Request),Old Ikoyi Ikoyi Lagos,₦,"950,000,000",0,1,0,5 beds,5 baths,6 Toilets
Renovated 4bedrooms Terrace + Bq,Parkview Estate Ikoyi Lagos,₦,"8,000,000",1,0,0,4 beds,5 baths,5 Toilets
"Land Measuring Approximately 1,662m² And Riped For Immediate Development.","Elegushi Road (formerly Club Road), Old Ikoyi, Ikoyi Lagos",₦,"1,250,000,000",0,0,0, beds, baths, Toilets
Newly Built 5 Bedroom Fully Detached House,Off Onikoyi Road Ikoyi Mojisola Onikoyi Estate Ikoyi Lagos,₦,"850,000,000",0,1,0,5 beds,5 baths,6 Toilets
Fully Automated 5 Bedroom Fully Detached Duplex With Swimming Pool And Cinema,Ikoyi Lagos,₦,"950,000,000",0,1,0,5 beds,6 baths,6 Toilets
Luxury 4 Numbers Of 3 Bedroom Terrace Houses,Banana Island Ikoyi Lagos,₦,"2,400,000,000",0,0,0,0 beds,0 baths,0 Toilets
3bedrooms Apartment + Bq,Banana Island Ikoyi Lagos,₦,"170,000,000",1,1,0,3 beds,3 baths,4 Toilets
Smart Luxury 3 Bedroom Blocks Of Flat And Bq,Banana Island Ikoyi Lagos,₦,"180,000,000",0,1,0,3 beds,3 baths,4 Toilets
Luxury 5 Bedroom Detached Duplex,Old Ikoyi Ikoyi Lagos,₦,"900,000,000",0,1,0,5 beds,5 baths,6 Toilets
4 Bedroom Terrace House,Banana Island Estate Banana Island Ikoyi Lagos,₦,"420,000,000",1,0,0,4 beds,4 baths,5 Toilets
3bedrooms Condo Apartment + Bq,Bourdillon Ikoyi Lagos,₦,"300,000,000",1,0,0,3 beds,3 baths,4 Toilets
Newly Built 5 Bedroom Detached Duplex,"Ikoyi, Lagos, Nigeria Ikoyi Lagos",₦,"650,000,000",0,1,0,5 beds,5 baths,6 Toilets
Brand New 4 Bedroom Terrace Duplex With A Bq;,Old Ikoyi Ikoyi Lagos,₦,"300,000,000",0,1,0,4 beds,4 baths,5 Toilets
Fully Serviced 3 Bedroom Apartments,Banana Island Road Banana Island Ikoyi Lagos,₦,"200,000,000",1,0,0,3 beds,3 baths,4 Toilets
Brand New 5 Bedroom Detached Duplex With 2 Rooms Bq;,Shoreline Estate Ikoyi Lagos,₦,"450,000,000",0,1,0,5 beds,5 baths,6 Toilets
Brand New 5 Bedroom Detached Duplex With 2 Rooms Bq;,Banana Island Ikoyi Lagos,₦,"950,000,000",0,1,0,5 beds,5 baths,6 Toilets
Land For Jv,Off Gerald Road Old Ikoyi Ikoyi Lagos,₦,"1,200,000,000",0,0,0, beds, baths, Toilets
900sqm Land In A Gated Estate,Osborne Foreshore Estate Ikoyi Lagos,₦,"400,000,000",0,0,0, beds, baths, Toilets
Brand New 5 Bedroom Semi Detached Duplex + Bq,Ikoyi S.w Ikoyi Lagos,₦,"450,000,000",0,1,0,5 beds,6 baths,6 Toilets
4 Bedroom Fully Detached Duplex,Off Bourdillion Road Old Ikoyi Ikoyi Lagos,$,"1,500,000",0,0,0,4 beds,5 baths,5 Toilets
Remodeled 4 Bedroom Duplex With 2 Rooms Bq,Dolphin Estate Ikoyi Lagos,₦,"130,000,000",0,0,0,4 beds,4 baths,5 Toilets
Newly Built Serviced 6 Bedroom Detached Duplex,Within Banana Island Estate Banana Island Ikoyi Lagos,₦,"900,000,000",0,0,0,6 beds,6 baths,7 Toilets
Luxurious Executive 4bedroom Terrace Duplex,Kingsley Road Ikoyi Ikoyi S.w Ikoyi Lagos,₦,"250,000,000",1,1,1,4 beds,4 baths,5 Toilets
5 Bedroom Detached Duplex,Ikoyi Lagos,₦,"600,000,000",0,0,0,0 beds,0 baths,0 Toilets
Luxury Furnished & Serviced 2bedroom Flat+ A Room Bq For Sale!!!,Gerard Road Ikoyi Lagos,₦,"170,000,000",1,1,1,2 beds,2 baths,2 Toilets
Luxurious Executive 5 Bedroom Semi Detached Duplex,Banana Island Banana Island Ikoyi Lagos,₦,"600,000,000",1,1,0,5 beds,6 baths,6 Toilets
Luxury 2 Bedroom Apartments With An Elevator,Ikoyi Lagos,₦,"65,000,000",0,1,0,2 beds,2 baths,3 Toilets
Automated 6 Bedroom With Pent House Duplex,Ikoyi Lagos,₦,"1,900,000,000",0,0,0,6 beds,6 baths,7 Toilets
Well Maintained 4 Bedroom Duplex,Off Turnbull Road Old Ikoyi Ikoyi Lagos,₦,"250,000,000",0,0,0,4 beds,3 baths,4 Toilets
Contemporary Massive 5 Bedroom Fully Detached Duplex,Bourdillon Ikoyi Lagos,₦,"900,000,000",0,1,0,5 beds,0 baths,0 Toilets
Furnished 2 Bedroom Flat With B.q,Parkview Estate Ikoyi Lagos,₦,"120,000,000",1,1,1,2 beds,2 baths,3 Toilets
26 Firmly Built Luxurious 3 Bedroom Apartments,Old Ikoyi Ikoyi Lagos,₦,"4,500,000,000",0,0,0,10 beds,10 baths,10 Toilets
"Land 2,008sqm Land",Milverton Road* Off Bourdillon Road Ikoyi Lagos,₦,"770,000/sqm",0,0,0,0 beds,0 baths,0 Toilets
Luxe 3 Bedroom Apartments,Old Ikoyi Ikoyi Lagos,₦,"180,000,000",1,1,0,3 beds,4 baths,5 Toilets
Land,Within Banana Island Estate Banana Island Ikoyi Lagos,₦,"2,460,000,000",0,0,0,0 beds,0 baths,0 Toilets
For Sale 5 Bedroom Detached Duplex,Bourdillon Ikoyi Lagos,₦,"950,000,000",0,1,0,5 beds,5 baths,7 Toilets
Well Finished 4 Bedroom Semi Detached Duplex With Bq,Banana Island Ikoyi Lagos,₦,"500,000,000",0,1,0,4 beds,4 baths,5 Toilets
Executive Newly Build 6 Bedroom Fully Detached House,Banana Island Ikoyi Lagos,₦,"650,000,000",1,1,0,6 beds,6 baths,7 Toilets
Newly Built 6 Bedroom Fully Detached House,Banana Island Ikoyi Lagos,₦,"650,000,000",1,1,0,6 beds,6 baths,7 Toilets
New Executive 5 Bedroom Semi Detached House,Banana Island Ikoyi Lagos,₦,"550,000,000",1,1,0,5 beds,5 baths,6 Toilets
